# SBOM Audit Trail
# Generated: 2026-04-20T14:08:54Z
# Input: /tmp/ubuntu-24.04.cdx.json
# Output: sbom_output.json

## Override

[2026-04-20T14:08:03Z] OVERRIDE component.version MODIFIED "24.04" -> "24.04" (source: cli/env)
[2026-04-20T14:08:04Z] OVERRIDE component.name MODIFIED "ubuntu" -> "Ubuntu 24.04 (container)" (source: cli/env)

## Augmentation

[2026-04-20T14:08:05Z] AUGMENTATION tools ADDED "sbomify action@26.1.0" (source: sbomify-action)
[2026-04-20T14:08:05Z] AUGMENTATION supplier.name ADDED "Lithium Project" (source: sbomify-api)
[2026-04-20T14:08:05Z] AUGMENTATION purl ADDED "pkg:generic/ubuntu-24.04-container@24.04" (source: generic-fallback)

## Enrichment

[2026-04-20T14:08:10Z] ENRICHMENT pkg:deb/ubuntu/apt@2.8.3?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:10Z] ENRICHMENT pkg:deb/ubuntu/apt@2.8.3?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:10Z] ENRICHMENT pkg:deb/ubuntu/apt@2.8.3?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:11Z] ENRICHMENT pkg:deb/ubuntu/base-files@13ubuntu10.4?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:11Z] ENRICHMENT pkg:deb/ubuntu/base-files@13ubuntu10.4?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:11Z] ENRICHMENT pkg:deb/ubuntu/base-passwd@3.6.3build1?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:11Z] ENRICHMENT pkg:deb/ubuntu/base-passwd@3.6.3build1?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:11Z] ENRICHMENT pkg:deb/ubuntu/base-passwd@3.6.3build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:12Z] ENRICHMENT pkg:deb/ubuntu/bash@5.2.21-2ubuntu4?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:12Z] ENRICHMENT pkg:deb/ubuntu/bash@5.2.21-2ubuntu4?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/bsdutils@1:2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux%402.39.3-9ubuntu6.5 description ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/bsdutils@1:2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux%402.39.3-9ubuntu6.5 supplier ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/bsdutils@1:2.39.3-9ubuntu6.5?arch=arm64&distro=ubuntu-24.04&upstream=util-linux%402.39.3-9ubuntu6.5 homepage ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/coreutils@9.4-3ubuntu6.2?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/coreutils@9.4-3ubuntu6.2?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/dash@0.5.12-6ubuntu5?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/dash@0.5.12-6ubuntu5?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/dash@0.5.12-6ubuntu5?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/dash@0.5.12-6ubuntu5?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debconf@1.5.86ubuntu1?arch=all&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debconf@1.5.86ubuntu1?arch=all&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debconf@1.5.86ubuntu1?arch=all&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debianutils@5.17build1?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debianutils@5.17build1?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:13Z] ENRICHMENT pkg:deb/ubuntu/debianutils@5.17build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:14Z] ENRICHMENT pkg:deb/ubuntu/diffutils@1:3.10-1build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:14Z] ENRICHMENT pkg:deb/ubuntu/diffutils@1:3.10-1build1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:15Z] ENRICHMENT pkg:deb/ubuntu/dpkg@1.22.6ubuntu6.5?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:15Z] ENRICHMENT pkg:deb/ubuntu/dpkg@1.22.6ubuntu6.5?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:15Z] ENRICHMENT pkg:deb/ubuntu/e2fsprogs@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:15Z] ENRICHMENT pkg:deb/ubuntu/e2fsprogs@1.47.0-2.4~exp1ubuntu4.1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:16Z] ENRICHMENT pkg:deb/ubuntu/findutils@4.9.0-5build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:16Z] ENRICHMENT pkg:deb/ubuntu/findutils@4.9.0-5build1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:17Z] ENRICHMENT pkg:deb/ubuntu/gcc-14-base@14.2.0-4ubuntu2~24.04.1?arch=arm64&distro=ubuntu-24.04&upstream=gcc-14 supplier ADDED (source: purl)
[2026-04-20T14:08:17Z] ENRICHMENT pkg:deb/ubuntu/gcc-14-base@14.2.0-4ubuntu2~24.04.1?arch=arm64&distro=ubuntu-24.04&upstream=gcc-14 homepage ADDED (source: purl)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/gpgv@2.4.4-2ubuntu17.4?arch=arm64&distro=ubuntu-24.04&upstream=gnupg2 supplier ADDED (source: purl)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/gpgv@2.4.4-2ubuntu17.4?arch=arm64&distro=ubuntu-24.04&upstream=gnupg2 homepage ADDED (source: purl)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/grep@3.11-4build1?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/grep@3.11-4build1?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/grep@3.11-4build1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/grep@3.11-4build1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/gzip@1.12-1ubuntu3.1?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: purl)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/gzip@1.12-1ubuntu3.1?arch=arm64&distro=ubuntu-24.04 homepage ADDED (source: purl)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/hostname@3.23%2Bnmu2ubuntu2?arch=arm64&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/hostname@3.23%2Bnmu2ubuntu2?arch=arm64&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/hostname@3.23%2Bnmu2ubuntu2?arch=arm64&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/init-system-helpers@1.66ubuntu1?arch=all&distro=ubuntu-24.04 description ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/init-system-helpers@1.66ubuntu1?arch=all&distro=ubuntu-24.04 manufacturer ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/init-system-helpers@1.66ubuntu1?arch=all&distro=ubuntu-24.04 supplier ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libacl1@2.3.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=acl description ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libacl1@2.3.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=acl manufacturer ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libacl1@2.3.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=acl supplier ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libacl1@2.3.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=acl homepage ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libapt-pkg6.0t64@2.8.3?arch=arm64&distro=ubuntu-24.04&upstream=apt description ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libapt-pkg6.0t64@2.8.3?arch=arm64&distro=ubuntu-24.04&upstream=apt manufacturer ADDED (source: license-db)
[2026-04-20T14:08:18Z] ENRICHMENT pkg:deb/ubuntu/libapt-pkg6.0t64@2.8.3?arch=arm64&distro=ubuntu-24.04&upstream=apt supplier ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libassuan0@2.5.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libassuan supplier ADDED (source: purl)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libassuan0@2.5.6-1build1?arch=arm64&distro=ubuntu-24.04&upstream=libassuan homepage ADDED (source: purl)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr description ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr manufacturer ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr supplier ADDED (source: license-db)
[2026-04-20T14:08:19Z] ENRICHMENT pkg:deb/ubuntu/libattr1@1:2.5.2-1build1.1?arch=arm64&distro=ubuntu-24.04&upstream=attr homepage ADDED (source: license-db)
